seed,quadrant,template,persona_id,axis,contrast,slope,r5_minus_r1
3007,high_e_high_n,v2,persona.high_e_high_n.v2,joyful,neutral_minus_feedback_only,-0.001521500200033188,-0.005776949226856232
3007,high_e_high_n,v3,persona.high_e_high_n.v3,joyful,neutral_minus_feedback_only,-0.0008060812950134277,-0.0024683550000190735
3007,high_e_low_n,v1,persona.high_e_low_n,joyful,neutral_minus_feedback_only,-0.0014607861638069152,-0.005289435386657715
3007,high_e_low_n,v2,persona.high_e_low_n.v2,joyful,neutral_minus_feedback_only,-0.0014689765870571137,-0.005411945283412933
3007,high_e_low_n,v3,persona.high_e_low_n.v3,joyful,neutral_minus_feedback_only,-0.0007575415074825289,-0.0021628066897392273
3007,low_e_high_n,v1,persona.low_e_high_n,joyful,neutral_minus_feedback_only,-0.0010166309773921968,-0.0035740062594413757
3007,low_e_high_n,v2,persona.low_e_high_n.v2,joyful,neutral_minus_feedback_only,-0.0010492645204067228,-0.004119768738746643
3007,low_e_high_n,v3,persona.low_e_high_n.v3,joyful,neutral_minus_feedback_only,-0.0009310171008110046,-0.0037325769662857056
3007,low_e_low_n,v1,persona.low_e_low_n,joyful,neutral_minus_feedback_only,-0.0008904412388801577,-0.0029993578791618347
3007,low_e_low_n,v2,persona.low_e_low_n.v2,joyful,neutral_minus_feedback_only,-0.0009124070405960084,-0.003279954195022583
3007,low_e_low_n,v3,persona.low_e_low_n.v3,joyful,neutral_minus_feedback_only,-0.0008385121822357179,-0.0033103376626968384
3008,high_e_high_n,v1,persona.high_e_high_n,joyful,neutral_minus_feedback_only,-0.0008318394422531128,-0.002383798360824585
3008,high_e_high_n,v2,persona.high_e_high_n.v2,joyful,neutral_minus_feedback_only,-0.0009310849010944366,-0.0029980167746543884
3008,high_e_high_n,v3,persona.high_e_high_n.v3,joyful,neutral_minus_feedback_only,-0.0008526518940925598,-0.002701207995414734
3008,high_e_low_n,v1,persona.high_e_low_n,joyful,neutral_minus_feedback_only,-0.0010232046246528626,-0.0032739341259002686
3008,high_e_low_n,v2,persona.high_e_low_n.v2,joyful,neutral_minus_feedback_only,-0.001005883514881134,-0.0033138543367385864
3008,high_e_low_n,v3,persona.high_e_low_n.v3,joyful,neutral_minus_feedback_only,-0.0009163461625576019,-0.0029568299651145935
3008,low_e_high_n,v1,persona.low_e_high_n,joyful,neutral_minus_feedback_only,-0.000924370437860489,-0.003112703561782837
3008,low_e_high_n,v2,persona.low_e_high_n.v2,joyful,neutral_minus_feedback_only,-0.0009030856192111969,-0.0033888742327690125
3008,low_e_high_n,v3,persona.low_e_high_n.v3,joyful,neutral_minus_feedback_only,-0.0008286014199256897,-0.003220498561859131
3008,low_e_low_n,v1,persona.low_e_low_n,joyful,neutral_minus_feedback_only,-0.0010505184531211854,-0.003799743950366974
3008,low_e_low_n,v2,persona.low_e_low_n.v2,joyful,neutral_minus_feedback_only,-0.000978584587574005,-0.003610841929912567
3008,low_e_low_n,v3,persona.low_e_low_n.v3,joyful,neutral_minus_feedback_only,-0.0008948087692260743,-0.0035918205976486206
3009,high_e_high_n,v1,persona.high_e_high_n,joyful,neutral_minus_feedback_only,-0.0009043298661708832,-0.005260944366455078
3009,high_e_high_n,v2,persona.high_e_high_n.v2,joyful,neutral_minus_feedback_only,-0.0009091399610042573,-0.005419895052909851
3009,high_e_high_n,v3,persona.high_e_high_n.v3,joyful,neutral_minus_feedback_only,-0.0008060812950134277,-0.0024683550000190735
3009,high_e_low_n,v1,persona.high_e_low_n,joyful,neutral_minus_feedback_only,-0.001094737648963928,-0.006085030734539032
3009,high_e_low_n,v2,persona.high_e_low_n.v2,joyful,neutral_minus_feedback_only,-0.001004636287689209,-0.005788333714008331
3009,high_e_low_n,v3,persona.high_e_low_n.v3,joyful,neutral_minus_feedback_only,-0.0007575415074825289,-0.0021628066897392273
3009,low_e_high_n,v1,persona.low_e_high_n,joyful,neutral_minus_feedback_only,-0.0009596742689609527,-0.005485229194164276
3009,low_e_high_n,v2,persona.low_e_high_n.v2,joyful,neutral_minus_feedback_only,-0.0010492645204067228,-0.004119768738746643
3009,low_e_high_n,v3,persona.low_e_high_n.v3,joyful,neutral_minus_feedback_only,-0.0009851716458797457,-0.0058706700801849365
3009,low_e_low_n,v1,persona.low_e_low_n,joyful,neutral_minus_feedback_only,-0.0010394535958766936,-0.005942873656749725
3009,low_e_low_n,v2,persona.low_e_low_n.v2,joyful,neutral_minus_feedback_only,-0.0009124070405960084,-0.003279954195022583
3009,low_e_low_n,v3,persona.low_e_low_n.v3,joyful,neutral_minus_feedback_only,-0.0010159917175769804,-0.006020106375217438
3010,high_e_high_n,v1,persona.high_e_high_n,joyful,neutral_minus_feedback_only,-0.0005758471786975862,-0.0028886348009109497
3010,high_e_high_n,v2,persona.high_e_high_n.v2,joyful,neutral_minus_feedback_only,-0.0005689390003681179,-0.002899736166000366
3010,high_e_high_n,v3,persona.high_e_high_n.v3,joyful,neutral_minus_feedback_only,-0.00048641860485076904,-0.002389274537563324
3010,high_e_low_n,v1,persona.high_e_low_n,joyful,neutral_minus_feedback_only,-0.0005652748048305505,-0.002824045717716217
3010,high_e_low_n,v2,persona.high_e_low_n.v2,joyful,neutral_minus_feedback_only,-0.0002550713717937468,-0.0017846524715423584
3010,high_e_low_n,v3,persona.high_e_low_n.v3,joyful,neutral_minus_feedback_only,-0.00048381909728050215,-0.0024852827191352844
3010,low_e_high_n,v1,persona.low_e_high_n,joyful,neutral_minus_feedback_only,-0.0004648327827453617,-0.0025053247809410095
3010,low_e_high_n,v2,persona.low_e_high_n.v2,joyful,neutral_minus_feedback_only,-0.0005728989839553838,-0.0029630139470100403
3010,low_e_high_n,v3,persona.low_e_high_n.v3,joyful,neutral_minus_feedback_only,-0.00045770853757858346,-0.002381555736064911
3010,low_e_low_n,v1,persona.low_e_low_n,joyful,neutral_minus_feedback_only,-0.00037459954619407584,-0.0020810887217521667
3010,low_e_low_n,v2,persona.low_e_low_n.v2,joyful,neutral_minus_feedback_only,-0.00039910152554512024,-0.0022666454315185547
3010,low_e_low_n,v3,persona.low_e_low_n.v3,joyful,neutral_minus_feedback_only,-0.0004524931311607359,-0.0023510828614234924
3001,high_e_high_n,v1,persona.high_e_high_n,joyful,supportive_minus_neutral,0.0024667114019393923,0.00805501639842987
3001,high_e_high_n,v2,persona.high_e_high_n.v2,joyful,supportive_minus_neutral,0.002428754419088364,0.007898949086666107
3001,high_e_high_n,v3,persona.high_e_high_n.v3,joyful,supportive_minus_neutral,0.002495782822370529,0.008065737783908844
3001,high_e_low_n,v1,persona.high_e_low_n,joyful,supportive_minus_neutral,0.002254646271467209,0.006879784166812897
3001,high_e_low_n,v2,persona.high_e_low_n.v2,joyful,supportive_minus_neutral,0.002178923785686493,0.006710946559906006
3001,high_e_low_n,v3,persona.high_e_low_n.v3,joyful,supportive_minus_neutral,0.002268527448177338,0.00687166303396225
3001,low_e_high_n,v1,persona.low_e_high_n,joyful,supportive_minus_neutral,0.0026213563978672028,0.009157657623291016
3001,low_e_high_n,v2,persona.low_e_high_n.v2,joyful,supportive_minus_neutral,0.002638615667819977,0.009272284805774689
3001,low_e_high_n,v3,persona.low_e_high_n.v3,joyful,supportive_minus_neutral,0.0026648484170436857,0.009564608335494995
3001,low_e_low_n,v1,persona.low_e_low_n,joyful,supportive_minus_neutral,0.002380267530679703,0.007834658026695251
3001,low_e_low_n,v2,persona.low_e_low_n.v2,joyful,supportive_minus_neutral,0.0023522511124610904,0.007803343236446381
3001,low_e_low_n,v3,persona.low_e_low_n.v3,joyful,supportive_minus_neutral,0.002445848286151886,0.008431151509284973
3002,high_e_high_n,v1,persona.high_e_high_n,joyful,supportive_minus_neutral,0.0024667114019393923,0.00805501639842987
3002,high_e_high_n,v2,persona.high_e_high_n.v2,joyful,supportive_minus_neutral,0.002428754419088364,0.007898949086666107
3002,high_e_high_n,v3,persona.high_e_high_n.v3,joyful,supportive_minus_neutral,0.002495782822370529,0.008065737783908844
3002,high_e_low_n,v1,persona.high_e_low_n,joyful,supportive_minus_neutral,0.002254646271467209,0.006879784166812897
3002,high_e_low_n,v2,persona.high_e_low_n.v2,joyful,supportive_minus_neutral,0.002178923785686493,0.006710946559906006
3002,high_e_low_n,v3,persona.high_e_low_n.v3,joyful,supportive_minus_neutral,0.002268527448177338,0.00687166303396225
3002,low_e_high_n,v1,persona.low_e_high_n,joyful,supportive_minus_neutral,0.0026213563978672028,0.009157657623291016
3002,low_e_high_n,v2,persona.low_e_high_n.v2,joyful,supportive_minus_neutral,0.002638615667819977,0.009272284805774689
3002,low_e_high_n,v3,persona.low_e_high_n.v3,joyful,supportive_minus_neutral,0.0026648484170436857,0.009564608335494995
3002,low_e_low_n,v1,persona.low_e_low_n,joyful,supportive_minus_neutral,0.002380267530679703,0.007834658026695251
3002,low_e_low_n,v2,persona.low_e_low_n.v2,joyful,supportive_minus_neutral,0.0023522511124610904,0.007803343236446381
3002,low_e_low_n,v3,persona.low_e_low_n.v3,joyful,supportive_minus_neutral,0.002445848286151886,0.008431151509284973
3003,high_e_high_n,v1,persona.high_e_high_n,joyful,supportive_minus_neutral,0.002385268360376358,0.007878735661506653
3003,high_e_high_n,v2,persona.high_e_high_n.v2,joyful,supportive_minus_neutral,0.0023320652544498444,0.007640421390533447
3003,high_e_high_n,v3,persona.high_e_high_n.v3,joyful,supportive_minus_neutral,0.002430744469165802,0.007875226438045502
3003,high_e_low_n,v1,persona.high_e_low_n,joyful,supportive_minus_neutral,0.002221410721540451,0.00694611668586731
3003,high_e_low_n,v2,persona.high_e_low_n.v2,joyful,supportive_minus_neutral,0.00215885266661644,0.006917878985404968
3003,high_e_low_n,v3,persona.high_e_low_n.v3,joyful,supportive_minus_neutral,0.002267902344465256,0.0070308297872543335
3003,low_e_high_n,v1,persona.low_e_high_n,joyful,supportive_minus_neutral,0.0024164073169231416,0.008350960910320282
3003,low_e_high_n,v2,persona.low_e_high_n.v2,joyful,supportive_minus_neutral,0.002444250136613846,0.008437924087047577
3003,low_e_high_n,v3,persona.low_e_high_n.v3,joyful,supportive_minus_neutral,0.0025050491094589233,0.00875689834356308
3003,low_e_low_n,v1,persona.low_e_low_n,joyful,supportive_minus_neutral,0.0022326938807964323,0.007526382803916931
3003,low_e_low_n,v2,persona.low_e_low_n.v2,joyful,supportive_minus_neutral,0.002261873334646225,0.007685482501983643
3003,low_e_low_n,v3,persona.low_e_low_n.v3,joyful,supportive_minus_neutral,0.0023486584424972532,0.008012712001800537
3004,high_e_high_n,v1,persona.high_e_high_n,joyful,supportive_minus_neutral,0.0005866691470146179,0.000949271023273468
3004,high_e_high_n,v2,persona.high_e_high_n.v2,joyful,supportive_minus_neutral,0.000547616183757782,-0.0003743693232536316
3004,high_e_high_n,v3,persona.high_e_high_n.v3,joyful,supportive_minus_neutral,0.0007034577429294586,0.0015511587262153625
3004,high_e_low_n,v1,persona.high_e_low_n,joyful,supportive_minus_neutral,0.0004783987998962403,0.00035246461629867554
3004,high_e_low_n,v2,persona.high_e_low_n.v2,joyful,supportive_minus_neutral,0.0021891288459300992,0.00565289705991745
3004,high_e_low_n,v3,persona.high_e_low_n.v3,joyful,supportive_minus_neutral,0.0005858667194843292,0.0008779764175415039
3004,low_e_high_n,v1,persona.low_e_high_n,joyful,supportive_minus_neutral,0.00055832639336586,-0.00022039562463760376
3004,low_e_high_n,v2,persona.low_e_high_n.v2,joyful,supportive_minus_neutral,0.0006906285881996155,0.00043939054012298584
3004,low_e_high_n,v3,persona.low_e_high_n.v3,joyful,supportive_minus_neutral,0.002224570512771607,0.00824107974767685
3004,low_e_low_n,v1,persona.low_e_low_n,joyful,supportive_minus_neutral,0.0005198106169700623,-0.0005727484822273254
3004,low_e_low_n,v2,persona.low_e_low_n.v2,joyful,supportive_minus_neutral,0.0005051977932453156,-0.0005096867680549622
3004,low_e_low_n,v3,persona.low_e_low_n.v3,joyful,supportive_minus_neutral,0.0006038516759872437,5.891174077987671e-05
3005,high_e_high_n,v1,persona.high_e_high_n,joyful,supportive_minus_neutral,0.0024667114019393923,0.00805501639842987
3005,high_e_high_n,v2,persona.high_e_high_n.v2,joyful,supportive_minus_neutral,0.002428754419088364,0.007898949086666107
3005,high_e_high_n,v3,persona.high_e_high_n.v3,joyful,supportive_minus_neutral,0.002495782822370529,0.008065737783908844
3005,high_e_low_n,v1,persona.high_e_low_n,joyful,supportive_minus_neutral,0.002254646271467209,0.006879784166812897
3005,high_e_low_n,v2,persona.high_e_low_n.v2,joyful,supportive_minus_neutral,0.002178923785686493,0.006710946559906006
3005,high_e_low_n,v3,persona.high_e_low_n.v3,joyful,supportive_minus_neutral,0.002268527448177338,0.00687166303396225
3005,low_e_high_n,v1,persona.low_e_high_n,joyful,supportive_minus_neutral,0.0026213563978672028,0.009157657623291016
3005,low_e_high_n,v2,persona.low_e_high_n.v2,joyful,supportive_minus_neutral,0.002638615667819977,0.009272284805774689
3005,low_e_high_n,v3,persona.low_e_high_n.v3,joyful,supportive_minus_neutral,0.0026648484170436857,0.009564608335494995
3005,low_e_low_n,v1,persona.low_e_low_n,joyful,supportive_minus_neutral,0.002380267530679703,0.007834658026695251
3005,low_e_low_n,v2,persona.low_e_low_n.v2,joyful,supportive_minus_neutral,0.0023522511124610904,0.007803343236446381
3005,low_e_low_n,v3,persona.low_e_low_n.v3,joyful,supportive_minus_neutral,0.002445848286151886,0.008431151509284973
3006,high_e_high_n,v1,persona.high_e_high_n,joyful,supportive_minus_neutral,0.0010896548628807068,0.002133511006832123
3006,high_e_high_n,v2,persona.high_e_high_n.v2,joyful,supportive_minus_neutral,0.0012161329388618468,0.0026618391275405884
3006,high_e_high_n,v3,persona.high_e_high_n.v3,joyful,supportive_minus_neutral,0.0010623984038829804,0.0020155981183052063
3006,high_e_low_n,v1,persona.high_e_low_n,joyful,supportive_minus_neutral,0.000851217657327652,0.0009621679782867432
3006,high_e_low_n,v2,persona.high_e_low_n.v2,joyful,supportive_minus_neutral,0.0009356118738651275,0.0014434084296226501
3006,high_e_low_n,v3,persona.high_e_low_n.v3,joyful,supportive_minus_neutral,0.0008431330323219299,0.0010557100176811218
3006,low_e_high_n,v1,persona.low_e_high_n,joyful,supportive_minus_neutral,0.0011764571070671081,0.00270138680934906
3006,low_e_high_n,v2,persona.low_e_high_n.v2,joyful,supportive_minus_neutral,0.0013507388532161713,0.003403782844543457
3006,low_e_high_n,v3,persona.low_e_high_n.v3,joyful,supportive_minus_neutral,0.0012284211814403534,0.003133252263069153
3006,low_e_low_n,v1,persona.low_e_low_n,joyful,supportive_minus_neutral,0.0009847499430179596,0.0018105879426002502
3006,low_e_low_n,v2,persona.low_e_low_n.v2,joyful,supportive_minus_neutral,0.0010512955486774445,0.0020862817764282227
3006,low_e_low_n,v3,persona.low_e_low_n.v3,joyful,supportive_minus_neutral,0.001052931696176529,0.0022761300206184387
3007,high_e_high_n,v1,persona.high_e_high_n,joyful,supportive_minus_neutral,0.0024667114019393923,0.00805501639842987
3007,high_e_high_n,v2,persona.high_e_high_n.v2,joyful,supportive_minus_neutral,0.002401144057512283,0.007910668849945068
3007,high_e_high_n,v3,persona.high_e_high_n.v3,joyful,supportive_minus_neutral,0.002495782822370529,0.008065737783908844
3007,high_e_low_n,v1,persona.high_e_low_n,joyful,supportive_minus_neutral,0.0021810069680213927,0.006675548851490021
3007,high_e_low_n,v2,persona.high_e_low_n.v2,joyful,supportive_minus_neutral,0.0021392911672592167,0.00664617121219635
3007,high_e_low_n,v3,persona.high_e_low_n.v3,joyful,supportive_minus_neutral,0.0016558587551116946,0.0042103007435798645
3007,low_e_high_n,v1,persona.low_e_high_n,joyful,supportive_minus_neutral,0.0026213563978672028,0.009157657623291016
3007,low_e_high_n,v2,persona.low_e_high_n.v2,joyful,supportive_minus_neutral,0.002638615667819977,0.009272284805774689
3007,low_e_high_n,v3,persona.low_e_high_n.v3,joyful,supportive_minus_neutral,0.0026648484170436857,0.009564608335494995
3007,low_e_low_n,v1,persona.low_e_low_n,joyful,supportive_minus_neutral,0.002380267530679703,0.007834658026695251
3007,low_e_low_n,v2,persona.low_e_low_n.v2,joyful,supportive_minus_neutral,0.0023522511124610904,0.007803343236446381
3007,low_e_low_n,v3,persona.low_e_low_n.v3,joyful,supportive_minus_neutral,0.002445848286151886,0.008431151509284973
3008,high_e_high_n,v1,persona.high_e_high_n,joyful,supportive_minus_neutral,0.0017730817198753357,0.004586867988109589
3008,high_e_high_n,v2,persona.high_e_high_n.v2,joyful,supportive_minus_neutral,0.0017961330711841585,0.004735842347145081
3008,high_e_high_n,v3,persona.high_e_high_n.v3,joyful,supportive_minus_neutral,0.0018461816012859344,0.00481773167848587
3008,high_e_low_n,v1,persona.high_e_low_n,joyful,supportive_minus_neutral,0.001767844706773758,0.004445776343345642
3008,high_e_low_n,v2,persona.high_e_low_n.v2,joyful,supportive_minus_neutral,0.001743246614933014,0.004532560706138611
3008,high_e_low_n,v3,persona.high_e_low_n.v3,joyful,supportive_minus_neutral,0.0017729565501213075,0.004393808543682098
3008,low_e_high_n,v1,persona.low_e_high_n,joyful,supportive_minus_neutral,0.0018330059945583343,0.005215905606746674
3008,low_e_high_n,v2,persona.low_e_high_n.v2,joyful,supportive_minus_neutral,0.0018987536430358886,0.005572974681854248
3008,low_e_high_n,v3,persona.low_e_high_n.v3,joyful,supportive_minus_neutral,0.001885806769132614,0.005669400095939636
3008,low_e_low_n,v1,persona.low_e_low_n,joyful,supportive_minus_neutral,0.0018282882869243623,0.005074761807918549
3008,low_e_low_n,v2,persona.low_e_low_n.v2,joyful,supportive_minus_neutral,0.0018105491995811464,0.005094833672046661
3008,low_e_low_n,v3,persona.low_e_low_n.v3,joyful,supportive_minus_neutral,0.001824241876602173,0.0053231194615364075
3009,high_e_high_n,v1,persona.high_e_high_n,joyful,supportive_minus_neutral,0.003284209221601486,0.01247628778219223
3009,high_e_high_n,v2,persona.high_e_high_n.v2,joyful,supportive_minus_neutral,0.003290952742099762,0.012677907943725586
3009,high_e_high_n,v3,persona.high_e_high_n.v3,joyful,supportive_minus_neutral,0.002495782822370529,0.008065737783908844
3009,high_e_low_n,v1,persona.high_e_low_n,joyful,supportive_minus_neutral,0.003223945945501327,0.012249313294887543
